word,category
kitob,narsa
kompyuter,texnologiya
telefon,texnologiya
oila,umumiy
do'st,umumiy
maktab,joy
universitet,joy
daraxt,tabiat
qush,tabiat
baland,sifat
kichik,sifat
tez,sifat
sekin,sifat
toshkent,shahar
samarqand,shahar
buxoro,shahar
qovun,meva
tarvuz,meva
olma,meva
anor,meva
