word,category
книга,объект
компьютер,технология
телефон,технология
семья,общее
друг,общее
школа,место
университет,место
дерево,природа
птица,природа
высокий,прилагательное
маленький,прилагательное
быстрый,прилагательное
медленный,прилагательное
ташкент,город
самарканд,город
бухара,город
дыня,фрукт
арбуз,фрукт
яблоко,фрукт
гранат,фрукт
